Time,Quadrant Number,Ball Colour,Type
93.36490527803959,2,white,Exit
93.3981904492617,4,orange,Exit
93.3981904492617,4,green,Entry
93.3981904492617,2,white,Entry
93.43147562048382,4,orange,Exit
93.43147562048382,4,green,Entry
93.43147562048382,2,white,Exit
93.46476079170594,4,orange,Exit
93.46476079170594,4,green,Entry
93.46476079170594,2,white,Entry
93.49804596292806,4,orange,Exit
93.49804596292806,4,green,Entry
93.49804596292806,4,yellow,Exit
93.49804596292806,2,white,Exit
93.53133113415018,4,orange,Entry
93.53133113415018,4,green,Exit
93.53133113415018,4,yellow,Entry
93.53133113415018,2,white,Entry
93.5646163053723,4,orange,Exit
93.5646163053723,4,green,Entry
93.5646163053723,4,yellow,Exit
93.5646163053723,2,white,Exit
93.59790147659442,4,orange,Entry
93.59790147659442,4,green,Exit
93.59790147659442,4,yellow,Entry
93.59790147659442,2,white,Entry
93.63118664781653,4,orange,Exit
93.63118664781653,4,green,Entry
93.63118664781653,4,yellow,Exit
93.63118664781653,2,white,Exit
93.66447181903865,4,orange,Entry
93.66447181903865,4,green,Exit
93.66447181903865,4,yellow,Entry
93.66447181903865,2,white,Entry
93.69775699026077,4,orange,Exit
93.69775699026077,4,green,Entry
93.69775699026077,4,yellow,Exit
93.69775699026077,2,white,Exit
93.73104216148289,4,orange,Entry
93.73104216148289,4,green,Exit
93.73104216148289,4,yellow,Entry
93.73104216148289,2,white,Entry
93.764327332705,4,orange,Exit
93.764327332705,4,green,Entry
93.764327332705,4,yellow,Exit
93.764327332705,2,white,Exit
93.79761250392711,4,orange,Entry
93.79761250392711,4,green,Exit
93.79761250392711,4,yellow,Entry
93.79761250392711,2,white,Entry
93.83089767514923,4,orange,Exit
93.83089767514923,4,green,Entry
93.83089767514923,4,yellow,Exit
93.83089767514923,2,white,Exit
93.86418284637135,4,orange,Entry
93.86418284637135,4,green,Exit
93.86418284637135,4,yellow,Entry
93.86418284637135,2,white,Entry
93.89746801759347,4,orange,Exit
93.89746801759347,4,green,Entry
93.89746801759347,4,yellow,Exit
93.89746801759347,2,white,Exit
93.93075318881559,4,orange,Entry
93.93075318881559,4,green,Exit
93.93075318881559,4,yellow,Entry
93.93075318881559,2,white,Entry
93.9640383600377,4,orange,Exit
93.9640383600377,4,green,Entry
93.9640383600377,4,yellow,Exit
93.9640383600377,2,white,Exit
93.99732353125982,4,orange,Entry
93.99732353125982,4,green,Exit
93.99732353125982,4,yellow,Entry
93.99732353125982,2,white,Entry
94.03060870248194,4,orange,Exit
94.03060870248194,4,green,Entry
94.03060870248194,4,yellow,Exit
94.03060870248194,2,white,Exit
94.06389387370406,4,orange,Entry
94.06389387370406,4,green,Exit
94.06389387370406,4,yellow,Entry
94.06389387370406,2,white,Entry
94.09717904492618,4,orange,Exit
94.09717904492618,4,green,Entry
94.09717904492618,4,yellow,Exit
94.09717904492618,2,white,Exit
94.1304642161483,4,orange,Entry
94.1304642161483,4,green,Exit
94.1304642161483,4,yellow,Entry
94.1304642161483,2,white,Entry
94.16374938737042,4,orange,Exit
94.16374938737042,4,green,Entry
